convicts	condenados
taken	Tomado
known	Conocido
thirsty	Sed
hebrew	Hebreo
want	Queremos
loaves	Panes
praetorium	Pretorio
still	Aún
before	Antes
feast	Fiesta
someone	Alguien
our	Nuestro
opened	Abierto
baptize	Bautizo
plainly	Claramente
wrapped	Envuelta
grace	Gracia
bethany	Betania
loves	Ama
declare	Declarar
turned	Activado
mountain	Montaña
afraid	Miedo
shall	Deberá
nothing	Nada
death	Muerte
counselor	Consejero
marvel	Marvel
just	Sólo
set	Conjunto
its	Su
sorrow	Dolor
garden	Jardín
pray	Orar
walk	pie
raise	Elevar
glorify	Glorificar
make	Hacer
cross	Cruz
openly	Abiertamente
except	Excepto
lets	Le permite
ruler	Regla
desire	Deseo
back	Parte;posterior
sight	Vista
resurrection	Resurrección
anything	Nada
sake	Bien
raised	Planteado
a	Un
having	Habiendo
sins	Pecados
let	Deje que
brought	Trajo
everyone	Todos
fish	Pescado
cause	Causa
shepherd	Pastor
crucified	Crucificado
forever	Para siempre
only	Sólo
where	Donde
however	Sin embargo
crucify	¡Crucifícale!
against	Contra
well	Así
parents	Los padres
broken	ROTO
about	Acerca de
gone	Pasado
draw	Dibujar
hears	Oye
thomas	Thomas
children	niños
yourselves	Vosotros
stood	Era
now	Ahora
sought	Buscar
sir	Sir
lay	Laicos
taught	Enseñó
listen	Escuchar
sees	Ve
mine	Mina
any	Cualquier
evil	Mal
betray	Traicionar
left	Izquierda
immediately	Inmediatamente
become	Convertido
who	Que
whoever	Quien
while	Mientras
themselves	Sí
servants	Funcionarios públicos
stayed	alojamos
worship	Culto
side	Lado
their	Su
believe	Creo
both	Ambos
last	Última
affection	Afecto
cried	Lloró
officers	Mesa
around	Todo
way	Forma
called	Llamada
never	Nunca
work	Trabajo
chief	Jefe
love	Amor
little	Poco
gives	Da
and	Y
sat	Sábado
alone	Solo
concerning	Sobre
hand	Mano
hear	Escuchar
time	Tiempo
people	personas
tell	Digo
must	Debe
this	Este
after	Después
laid	Sentado
ask	Preguntar
also	También
passover	Pascua
neither	Ni
wo	Wo
other	Otros
into	En
your	Su
entered	Entró
what	¿Qué
others	Otros
high	Alta
nor	Ni
found	Encontrado
being	Siendo
yet	Sin embargo
